Start Experiment 02/08/2024 21:47:32

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 22:27:50
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 23:23:40
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/09/2024 00:39:47
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/09/2024 00:41:03
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/09/2024 00:43:42
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/09/2024 00:46:00
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.25, 113.37101364135742, 100.0, 2510.2558194596863
Experiment 1, 0.0, -1, 100.0, 1865.284610745743
Experiment 2, 0.0, -1, 100.0, 2001.5999728707686
Experiment 3, 0.25, 18.47092342376709, 100.0, 2033.313248089348
Experiment 4, 0.0, -1, 100.0, 2011.610388259675
Summary,0.1 ± 0.12247448713915891,                 25.768387413024904 ± 44.44572599667333,                 100.0 ± 0.0,                 2084.412807885044 ± 220.96549968092535
End Experiment
