('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.F.N.N.N.N.N.N.O.O.O.O.O', 42)
('C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.O.O', 19)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.N.N.N.O.O', 92)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.O.O.O.O.O.O.O.O', 69)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.S', 80)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.O.O.O.O.O.O.O', 44)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.F.F.F.N.N.O.O.O.O.O.S', 70)
('C.C.C.C.C.C.C.C.C.Cl.F.F.N.N.N.O.O.O.O', 23)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.O.O.O.O.O.O', 15)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.O.O.O', 41)
('C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O', 73)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.O.O.O.O.O.O.O.O.O.O', 33)
('C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O', 63)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.S', 86)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.O.O', 52)
('C.C.C.C.C.N.N.N.N.S', 28)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.O.O.O.O.O.O.O.O.O.O', 57)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.O.O.O.O.O.O', 11)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O', 16)
('C.C.C.C.F.N.N.O.O', 4)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.F.F.F.I.N.N.N.O.O', 20)
('C.C.C.C.C.C.C.C.C.N.N.O.O.O.O', 72)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.O.O.O.O.O.O.O.O.O.O', 39)
('B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.N.N.O.O.O.O', 2)
('C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.F.N.N.N.O.O.O.O', 98)
