Start Experiment 02/07/2024 20:07:01

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:49
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1715.4240605638363
Experiment 1, 0.0, -1, 100.0, 1526.7328450974737
Experiment 2, 4.166666666666666, 36.85492420196533, 100.0, 1675.3411380169982
Experiment 3, 0.0, -1, 100.0, 1454.964338597107
Experiment 4, 0.0, -1, 100.0, 1556.5805020347052
Summary,0.8333333333333333 ± 1.6666666666666667,                 6.570984840393066 ± 15.141969680786133,                 100.0 ± 0.0,                 1585.808576862024 ± 96.20882521991295
End Experiment
