Start Experiment 02/07/2024 20:01:04

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:28:39
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1772.5363070989627
Experiment 1, 0.0, -1, 100.0, 1586.0649547807354
Start Experiment 02/07/2024 22:08:56
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:36
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1533.9084867276788
Experiment 1, 0.0, -1, 100.0, 1607.3600021511486
Experiment 2, 0.0, -1, 100.0, 1635.6741908730435
Experiment 3, 0.0, -1, 100.0, 1503.9791565520684
Experiment 4, 0.0, -1, 100.0, 1543.7529732050652
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1564.9349619018008 ± 48.848442284924886
End Experiment
