Start Experiment 02/07/2024 20:00:49

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:28:39
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1549.05971229822
Start Experiment 02/07/2024 22:08:56
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:36
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1507.0505652314225
Experiment 1, 0.0, -1, 100.0, 1623.0489510908246
Experiment 2, 0.0, -1, 100.0, 1615.005926949126
Experiment 3, 0.0, -1, 100.0, 1494.6478140174306
Experiment 4, 4.166666666666666, 39.516438484191895, 100.0, 1530.6408370308902
Summary,0.8333333333333333 ± 1.6666666666666665,                 7.103287696838379 ± 16.206575393676758,                 100.0 ± 0.0,                 1554.0788188639385 ± 54.336049926755756
End Experiment
