Start Experiment 02/07/2024 20:00:59

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:28:39
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:08:56
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1566.4003008189463
Experiment 1, 0.0, -1, 100.0, 1829.7097255940162
Experiment 2, 4.166666666666666, 51.518404960632324, 100.0, 1853.5528382204864
Experiment 3, 0.0, -1, 100.0, 1562.3769186973911
Experiment 4, 0.0, -1, 100.0, 1681.1368134251613
Summary,0.8333333333333333 ± 1.6666666666666667,                 9.503680992126466 ± 21.00736198425293,                 100.0 ± 0.0,                 1698.6353193512005 ± 124.52998611509237
End Experiment
