Start Experiment 02/07/2024 20:13:27

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:30:05
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1489.8655036796147
Start Experiment 02/07/2024 22:09:37
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:59
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 4.166666666666666, 83.5273962020874, 100.0, 1520.092298523731
Experiment 1, 4.166666666666666, 47.03191375732422, 100.0, 1862.7752687867905
Experiment 2, 0.0, -1, 100.0, 1871.9727635522552
Experiment 3, 0.0, -1, 100.0, 1550.7174799787688
Experiment 4, 0.0, -1, 100.0, 1562.6173410279862
Summary,1.6666666666666665 ± 2.0412414523193148,                 25.511861991882324 ± 34.46027079554837,                 100.0 ± 0.0,                 1673.6350303739061 ± 158.82122543040137
End Experiment
