Start Experiment 02/07/2024 20:13:27

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:30:05
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:09:37
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:59
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1560.7525245151771
Experiment 1, 0.0, -1, 100.0, 1796.9584289826141
Experiment 2, 0.0, -1, 100.0, 1750.687494929488
Experiment 3, 0.0, -1, 100.0, 1568.3323602138025
Experiment 4, 4.166666666666666, 77.47941207885742, 100.0, 1656.4568224638188
Summary,0.8333333333333333 ± 1.6666666666666665,                 14.695882415771484 ± 31.391764831542968,                 100.0 ± 0.0,                 1666.63752622098 ± 94.89691345395394
End Experiment
