Start Experiment 02/07/2024 20:00:59

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:14:19
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:28:39
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:32:40
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:35:37
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:08:56
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:08:56
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:09:31
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:06
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:12:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:13:05
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1513.0953337816707
Experiment 0, 0.0, -1, 100.0, 1501.413402442405
Experiment 0, 0.0, -1, 100.0, 1644.3843632656844
Experiment 1, 0.0, -1, 100.0, 1838.7167117271865
Experiment 1, 0.0, -1, 100.0, 1830.8844711484635
Experiment 1, 4.166666666666666, 128.76133728027344, 100.0, 1840.217718204627
Experiment 2, 8.333333333333332, 71.50798344612122, 100.0, 1822.7834110373358
Experiment 2, 8.333333333333332, 18.560084760189056, 100.0, 1880.913591899308
Experiment 2, 0.0, -1, 100.0, 1861.2033762566798
Experiment 3, 0.0, -1, 100.0, 1556.3519529995772
Experiment 4, 0.0, -1, 100.0, 1628.848112177552
Summary,1.6666666666666665 ± 3.3333333333333335,                 13.501596689224243 ± 29.003193378448486,                 100.0 ± 0.0,                 1671.9591043446646 ± 134.9202281309357
End Experiment
Experiment 3, 4.166666666666666, 74.75051927566528, 100.0, 1530.0193645986055
Experiment 3, 0.0, -1, 100.0, 1511.2622939100004
Experiment 4, 0.0, -1, 100.0, 1575.01453185382
Summary,2.4999999999999996 ± 3.3333333333333326,                 18.062120807170867 ± 29.339106455455777,                 100.0 ± 0.0,                 1692.2432645531765 ± 139.40410360266097
End Experiment
Experiment 4, 0.0, -1, 100.0, 1635.396270745168
Summary,0.8333333333333333 ± 1.6666666666666667,                 24.952267456054688 ± 51.90453491210938,                 100.0 ± 0.0,                 1669.898612311776 ± 155.14462257811581
End Experiment
