Start Experiment 02/07/2024 19:57:31

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:43
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:57
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1590.7969498872528
Experiment 1, 0.0, -1, 100.0, 1742.3693674435872
Experiment 2, 0.0, -1, 100.0, 1817.0057704295905
Experiment 3, 0.0, -1, 100.0, 1468.3340619809605
Experiment 4, 0.0, -1, 100.0, 1576.1825845673136
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1638.9377468617408 ± 124.71382054639064
End Experiment
