Start Experiment 02/07/2024 19:29:29

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:30:11
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:43:00
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:44:06
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:57:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:07:01
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:47
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1653.389710712978
Experiment 0, 0.0, -1, 100.0, 1638.2735111459049
Start Experiment 02/07/2024 21:30:01
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:16
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:50
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:57
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1606.3965223796904
Experiment 0, 0.0, -1, 100.0, 1626.5902623636741
Experiment 0, 0.0, -1, 100.0, 1556.2366807587248
Experiment 0, 0.0, -1, 100.0, 1609.640041656571
Experiment 1, 0.0, -1, 100.0, 1798.327964146188
Experiment 1, 0.0, -1, 100.0, 1822.1073083717017
Experiment 1, 0.0, -1, 100.0, 1765.7996409922278
Experiment 1, 0.0, -1, 100.0, 1829.0745591113707
Experiment 2, 0.0, -1, 100.0, 1818.4654957127839
Experiment 2, 4.166666666666666, 63.22010612487793, 100.0, 1799.9460833878663
Experiment 2, 0.0, -1, 100.0, 1676.7323527395004
Experiment 2, 0.0, -1, 100.0, 1866.6762717626316
Experiment 3, 0.0, -1, 100.0, 1592.3514668513724
Experiment 3, 0.0, -1, 100.0, 1503.3920783893134
Experiment 3, 0.0, -1, 100.0, 1497.3934262249452
Experiment 3, 0.0, -1, 100.0, 1493.7540039961884
Experiment 4, 0.0, -1, 100.0, 1609.6397745768002
Summary,0.8333333333333333 ± 1.6666666666666667,                 11.844021224975586 ± 25.688042449951176,                 100.0 ± 0.0,                 1658.2643850968811 ± 129.36587163817453
End Experiment
Experiment 4, 0.0, -1, 100.0, 1539.3967687494053
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1670.9876435678882 ± 114.57494811579802
End Experiment
Experiment 4, 0.0, -1, 100.0, 1607.830838881434
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1672.8580880449822 ± 129.12065905851642
End Experiment
Experiment 4, 4.166666666666666, 53.93709659576416, 100.0, 1697.2089295442865
Summary,0.8333333333333333 ± 1.6666666666666665,                 9.987419319152831 ± 21.974838638305663,                 100.0 ± 0.0,                 1661.2819774095835 ± 109.92390264723407
End Experiment
