Start Experiment 02/07/2024 19:57:31

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:46
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:57
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1625.238883525342
Experiment 1, 0.0, -1, 100.0, 1780.1648383821775
Experiment 2, 0.0, -1, 100.0, 1695.6002463796297
Experiment 3, 0.0, -1, 100.0, 1505.6090300393143
Experiment 4, 4.166666666666666, 5.398345708847046, 100.0, 1525.0208976722415
Summary,0.8333333333333333 ± 1.6666666666666665,                 0.27966914176940916 ± 2.5593382835388185,                 100.0 ± 0.0,                 1626.326779199741 ± 103.24902112810929
End Experiment
