Start Experiment 02/07/2024 20:07:01

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:50
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1728.678748033263
Experiment 1, 0.0, -1, 100.0, 1832.4524341102235
Experiment 2, 0.0, -1, 100.0, 1659.7829943727786
Experiment 3, 0.0, -1, 100.0, 1632.2859542592614
Experiment 4, 0.0, -1, 100.0, 1567.675270239198
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1684.1750802029449 ± 90.36195116975998
End Experiment
