OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F,"This molecule contains amine, cyano, fluoro, and phenyl functional groups, in which cyano may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",49,156
S=C=NCCC1=CC=CC=C1,"This molecule contains a thiocarbonyl group, a nitrile group, an amine group, and an aromatic ring, in which the thiocarbonyl group may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",63,138
COC1=CC=C(C2CNC(=O)C2)C=C1OC1CCCC1,"This molecule contains amide, benzene, ether, and piperidine functional groups, in which amide may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",49,151
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,"This molecule contains alcohol, alkene, carboxylic acid, and ester functional groups, in which carboxylic acid may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",54,165
CCCCCCCCC(=O)OCC,"This molecule contains alkane, carbonyl, ether, and ester functional groups, in which carbonyl may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",50,136
O=[Se](O)O,"This molecule contains an oxo group, a seleno group, a hydroperoxy group, and a hydroxy group, in which the seleno group may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",60,134
CC(C)(O)C#CC(C)(C)O,"This molecule contains alcohol, alkyne, alkane, and alkene functional groups, in which alkene may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",49,140
CCCC(=O)OCC1=CC=CC=C1,"This molecule contains alkane, ester, ether, and benzene functional groups, in which ester may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",48,142
CCC(=O)O,"This molecule contains carbonyl, carboxyl, and alkyl functional groups, in which carbonyl may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",49,133
COC1=CC(OC)=CC(OC)=C1,"This molecule contains ether, phenyl, and methoxy functional groups, in which phenyl may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",45,141
NC1=NC2=CC=CC=C2N1,"This molecule contains imine, pyrimidine, and benzene functional groups, in which pyrimidine may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",48,140
CC1CCCC(C)N1NC(=O)C1=CC=C(Cl)C(S(N)(=O)=O)=C1,"This molecule contains amine, carbonyl, thioether, and aromatic functional groups, in which carbonyl may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",51,157
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,"This molecule contains alcohol, aldehyde, alkene, and cycloalkane functional groups, in which alkene may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",50,168
COC1=CC=C2N=C(N)SC2=C1,"This molecule contains ether, thioether, benzene, and pyrimidine functional groups, in which benzene may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",50,142
