Start Experiment 02/08/2024 05:34:57

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1545.8390952374423
Experiment 1, 0.0, -1, 100.0, 1562.2241757270988
Start Experiment 02/08/2024 08:20:36
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1623.6709378487237
Start Experiment 02/08/2024 11:39:20
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1563.4791639970324
Experiment 1, 0.0, -1, 100.0, 1576.8725629286103
Experiment 2, 0.0, -1, 100.0, 1537.303612614401
Experiment 3, 4.166666666666666, 5.0, 100.0, 1575.993128520402
Experiment 4, 0.0, -1, 100.0, 1587.6751483121282
Summary,0.8333333333333333 ± 1.6666666666666667,                 0.2 ± 2.4,                 100.0 ± 0.0,                 1568.2647232745146 ± 17.27471969209457
End Experiment
