Start Experiment 02/08/2024 05:34:57

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1513.0721083146743
Start Experiment 02/08/2024 08:17:31
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 08:20:42
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1508.5865218189138
Start Experiment 02/08/2024 11:39:25
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1532.8193169724138
Experiment 1, 0.0, -1, 100.0, 1559.8528422643583
Experiment 2, 0.0, -1, 100.0, 1561.73011440751
